ident,m_id,m_title,m_description,created_at,due_at,closed_at,user
1513803,1,Feb 1 submission,Identify problem and analysis,1453158230.0,1454302800.0,1454614905.0,shivamgulati1991
1564280,2,Mar 1,,1454614841.0,,1456890327.0,shivamgulati1991
1564281,3,Apr 7,,1454614846.0,1460001600.0,1460083032.0,shivamgulati1991
1594446,4,API call setups,,1455946298.0,1456635600.0,1456732615.0,shivamgulati1991
1611066,5,Data Collection methods,,1456732733.0,1456808400.0,1456890324.0,shivamgulati1991
1611075,6,Improvement to-do's,,1456733071.0,1459656000.0,1459712709.0,shivamgulati1991
1611076,7,User response study initial survey on apps usage,,1456733136.0,1457586000.0,1459712782.0,shivamgulati1991
1611081,8,Adaptation as per feedback,Work on the apps to accommodate user suggestions as per trials,1456733322.0,1459742400.0,1459880152.0,shivamgulati1991
1680494,9,Analysis of solutions,,1459712779.0,1460001600.0,1460083018.0,shivamgulati1991
